Sr.	179769313486231570000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000
consecución.	-0.000397
fructuoso.	-0.000399
retomarla.	-0.000399
premiados.	-0.000399
coránicas.	-0.000399
limitaciones.	-0.000399
referéndums.	-0.000399
supranacional.	-0.000400
negligencia.	-0.000400
prestado.	-0.000401
independencia.	-0.000401
vandalismo.	-0.000405
descartado.	-0.000407
felicito.	-0.000408
sospechosos.	-0.000408
interminable.	-0.000408
proporción.	-0.000408
buscando.	-0.000409
exenciones.	-0.000409
perjuicio.	-0.000410
coincidan.	-0.000411
productividad.	-0.000411
exactamente.	-0.000412
veterinario.	-0.000413
calificada.	-0.000414
mueven.	-0.000416
conclusiones.	-0.000417
posición.	-0.000418
presupuestos.	-0.000419
Ministra.	-0.000419
hostilidades.	-0.000420
Presupuesto.	-0.000421
endocrinas.	-0.000421
entreguen.	-0.000422
pertenecen.	-0.000423
aeronáutica.	-0.000424
magnífica.	-0.000424
múltiplo.	-0.000425
balcánico.	-0.000426
oleaginosas.	-0.000427
inactividad.	-0.000427
artes.	-0.000429
arruinado.	-0.000429
llamativo.	-0.000429
imaginables.	-0.000429
congresos.	-0.000430
entidad.	-0.000430
petroleros.	-0.000431
ejecutar.	-0.000431
símbolo.	-0.000432
contaminados.	-0.000434
reguladoras.	-0.000434
denominador.	-0.000435
llena.	-0.000435
resuelve.	-0.000435
interestatal.	-0.000436
progresado.	-0.000436
estrategia.	-0.000436
resaltarlo.	-0.000436
señorías.	-0.000436
logísticas.	-0.000436
directrices.	-0.000437
seriamente.	-0.000438
inspectores.	-0.000441
irrevocable.	-0.000442
meridionales.	-0.000442
iniciativas.	-0.000443
ejerciendo.	-0.000444
colaboración.	-0.000444
insensatez.	-0.000445
beneficiarios.	-0.000446
criticado.	-0.000446
eludir.	-0.000446
minusvalías.	-0.000447
constitucional.	-0.000447
contribuyentes.	-0.000447
revolución.	-0.000448
subterránea.	-0.000449
dictatorial.	-0.000449
escogido.	-0.000449
repente.	-0.000449
alargar.	-0.000450
coronas.	-0.000452
conductores.	-0.000453
honor.	-0.000454
consecuencias.	-0.000454
obligación.	-0.000454
significativo.	-0.000455
atunera.	-0.000456
concluidos.	-0.000456
mensajes.	-0.000456
comentar.	-0.000456
capacidades.	-0.000457
indignación.	-0.000459
privilegios.	-0.000459
explique.	-0.000461
violaciones.	-0.000461
Sadam.	-0.000461
enumerar.	-0.000462
indiscutible.	-0.000462
traducciones.	-0.000463
seguimiento.	-0.000466
sobremanera.	-0.000468
ineludibles.	-0.000468
intolerancia.	-0.000468
irresponsable.	-0.000469
antipersonas.	-0.000473
alcanzado.	-0.000473
decepcionante.	-0.000475
prescindir.	-0.000476
informáticos.	-0.000478
escribir.	-0.000478
variantes.	-0.000480
describir.	-0.000480
repetir.	-0.000480
provocado.	-0.000481
contaminación.	-0.000481
insensata.	-0.000483
independientes.	-0.000486
transitorias.	-0.000486
alejarán.	-0.000487
zancadas.	-0.000487
pavoroso.	-0.000487
obscuras.	-0.000487
shipping.	-0.000487
prostitución.	-0.000488
cooperativo.	-0.000488
deplorables.	-0.000491
separatismo.	-0.000492
biomédica.	-0.000492
recreativas.	-0.000493
ataques.	-0.000493
secundarias.	-0.000493
indonesios.	-0.000494
corregirla.	-0.000494
ecologistas.	-0.000495
insistimos.	-0.000496
consolidada.	-0.000496
conseguidos.	-0.000496
modificarla.	-0.000497
naturalmente.	-0.000497
imperialista.	-0.000497
intervenido.	-0.000500
definitivos.	-0.000503
frustración.	-0.000503
Resolución.	-0.000503
movimiento.	-0.000503
minoritaria.	-0.000504
burocráticas.	-0.000504
mediterráneos.	-0.000505
significado.	-0.000506
Muscardini.	-0.000510
sangriento.	-0.000511
pensionistas.	-0.000511
reunificada.	-0.000511
periféricos.	-0.000511
antidumping.	-0.000512
equilibradas.	-0.000514
adolescentes.	-0.000514
legitimidad.	-0.000515
contractual.	-0.000516
trámites.	-0.000517
enormemente.	-0.000517
restringida.	-0.000517
competitividad.	-0.000518
criminalidad.	-0.000518
ambigüedades.	-0.000518
instrumento.	-0.000519
tratamiento.	-0.000519
justificados.	-0.000522
universidad.	-0.000523
perfiles.	-0.000523
informático.	-0.000524
Democracia.	-0.000524
irrisorias.	-0.000526
elocuentes.	-0.000526
subrayarse.	-0.000526
diariamente.	-0.000528
Jarquín.	-0.000528
establecidos.	-0.000529
obligatorias.	-0.000529
debatimos.	-0.000531
liberalizado.	-0.000534
vagón.	-0.000534
superfluos.	-0.000535
abstenernos.	-0.000535
actuaciones.	-0.000537
diminutas.	-0.000537
infiernos.	-0.000537
Estupendo.	-0.000537
voluntarias.	-0.000537
llenarla.	-0.000538
AELC-EEE.	-0.000538
Laussane.	-0.000538
contabilidad.	-0.000538
convicción.	-0.000538
recogidas.	-0.000539
corteses.	-0.000539
intrigas.	-0.000539
literales.	-0.000541
multiétnica.	-0.000541
naufragio.	-0.000542
SHERLOCK.	-0.000542
socialistas.	-0.000544
beneplácito.	-0.000545
considerables.	-0.000546
enhorabuena.	-0.000547
Rambouillet.	-0.000551
retroactivo.	-0.000552
descendido.	-0.000552
vehemencia.	-0.000553
previsibles.	-0.000554
empleadores.	-0.000558
paralizado.	-0.000559
oportunidades.	-0.000560
incurrido.	-0.000560
conveniente.	-0.000560
rechazan.	-0.000561
refuerzos.	-0.000561
alarmista.	-0.000561
tuviéramos.	-0.000562
agravados.	-0.000563
despedida.	-0.000564
formuladas.	-0.000566
inequívocos.	-0.000566
presidencia.	-0.000568
derivados.	-0.000569
reconocidas.	-0.000571
escándalos.	-0.000572
Convenio.	-0.000572
utilizan.	-0.000573
inseguridad.	-0.000573
próximamente.	-0.000574
antidopaje.	-0.000574
Educación.	-0.000574
verdaderos.	-0.000575
privilegiada.	-0.000575
asisten.	-0.000578
oradora.	-0.000578
propicios.	-0.000580
discoteca.	-0.000580
combatimos.	-0.000580
fabricantes.	-0.000581
agradezco.	-0.000584
emprende.	-0.000585
balance.	-0.000586
consensuado.	-0.000587
ácidos.	-0.000589
importes.	-0.000589
explicación.	-0.000592
generalizada.	-0.000593
desmienta.	-0.000594
estadístico.	-0.000595
espaciales.	-0.000596
progresivo.	-0.000596
necesitamos.	-0.000597
jugadores.	-0.000597
ofensivos.	-0.000599
prepararlo.	-0.000600
discutido.	-0.000601
cuencas.	-0.000602
repite.	-0.000602
dumping.	-0.000605
disturbios.	-0.000606
estratégicas.	-0.000606
bioenergía.	-0.000609
equivalente.	-0.000609
austriacas.	-0.000610
olímpicas.	-0.000610
patinazos.	-0.000610
saqueadas.	-0.000610
formarlos.	-0.000611
aburridas.	-0.000611
contaminada.	-0.000612
enérgicas.	-0.000613
armonizadas.	-0.000613
excepcionales.	-0.000614
terminales.	-0.000615
responder.	-0.000616
continuado.	-0.000616
hermanas.	-0.000617
imperfecta.	-0.000617
despedidas.	-0.000617
formativas.	-0.000620
reflexiones.	-0.000621
evaluación.	-0.000621
alcaldes.	-0.000623
urgentemente.	-0.000625
deteriorado.	-0.000626
vid.	-0.000628
Malpensa.	-0.000631
subsistencia.	-0.000632
apoyarnos.	-0.000635
observen.	-0.000635
creencia.	-0.000639
cualitativo.	-0.000640
farmacéutica.	-0.000641
responsables.	-0.000642
nací.	-0.000643
continuidad.	-0.000644
mejorarlos.	-0.000645
asignadas.	-0.000645
organizados.	-0.000648
indivisible.	-0.000650
indicaba.	-0.000652
jerarquía.	-0.000653
contaminantes.	-0.000653
reconocidos.	-0.000655
barbaridad.	-0.000655
permisiva.	-0.000656
simultánea.	-0.000657
defectuosos.	-0.000658
tráficos.	-0.000659
subrayado.	-0.000659
indicativos.	-0.000660
frecuencias.	-0.000660
presentada.	-0.000663
situaciones.	-0.000665
lograrse.	-0.000665
demostrada.	-0.000665
destacados.	-0.000666
sacrificios.	-0.000668
competencias.	-0.000670
sustentan.	-0.000671
introducción.	-0.000671
freáticas.	-0.000671
cigarrillo.	-0.000673
presupuestaria.	-0.000674
turbulenta.	-0.000675
logrará.	-0.000676
conjuntamente.	-0.000681
revancha.	-0.000681
invitara.	-0.000681
apuntado.	-0.000682
determinados.	-0.000683
dominios.	-0.000684
rencor.	-0.000687
NASDAQ.	-0.000687
desempeñar.	-0.000687
rechazo.	-0.000689
innegables.	-0.000692
Moreno.	-0.000695
evolutiva.	-0.000696
bastantes.	-0.000701
tecnológicos.	-0.000702
Kindermann.	-0.000702
repentina.	-0.000705
previamente.	-0.000707
cálculos.	-0.000708
reputación.	-0.000708
aumentos.	-0.000710
desnatada.	-0.000715
alimentación.	-0.000715
California.	-0.000716
apliquen.	-0.000718
cortó.	-0.000721
bienvenidos.	-0.000723
trauma.	-0.000725
asumido.	-0.000726
problemático.	-0.000728
Salafranca.	-0.000730
contestado.	-0.000732
esfuerzan.	-0.000733
Jamenei.	-0.000733
Justice.	-0.000733
finalizo.	-0.000735
Lamassoure.	-0.000736
convincentes.	-0.000737
fragmentada.	-0.000739
encrucijada.	-0.000740
inteligencia.	-0.000740
bicicletas.	-0.000740
adquisitivo.	-0.000741
caramelos.	-0.000742
peldaño.	-0.000743
nombran.	-0.000743
tradicionales.	-0.000743
presupuestario.	-0.000744
pluralismo.	-0.000746
problemática.	-0.000747
lingüísticas.	-0.000748
matanzas.	-0.000749
capitalismo.	-0.000749
ampliaciones.	-0.000750
construir.	-0.000753
adaptación.	-0.000757
modificarlo.	-0.000758
reproducción.	-0.000759
alegación.	-0.000760
engorroso.	-0.000760
expedientes.	-0.000761
cultivan.	-0.000763
predecesor.	-0.000763
gigantesco.	-0.000767
acreedores.	-0.000769
pequeña.	-0.000772
medicamento.	-0.000776
transparentes.	-0.000776
sumergido.	-0.000777
artilugio.	-0.000780
encontrados.	-0.000780
cuantiosos.	-0.000782
indecisos.	-0.000783
donativos.	-0.000783
presentadas.	-0.000783
establecido.	-0.000785
subsidio.	-0.000786
Azzolini.	-0.000790
Laperrouze.	-0.000790
Conciliación.	-0.000790
escapan.	-0.000791
jubilarse.	-0.000791
siniestra.	-0.000791
aprobarlas.	-0.000791
gaseosos.	-0.000792
observado.	-0.000792
compensación.	-0.000792
penalizar.	-0.000793
debatida.	-0.000794
transeuropeas.	-0.000794
considerado.	-0.000795
estudiantes.	-0.000795
Evangelio.	-0.000797
subvenciones.	-0.000799
Johanesburgo.	-0.000801
aplaudimos.	-0.000805
ajuste.	-0.000806
palanca.	-0.000809
acordará.	-0.000809
deshonesto.	-0.000812
sellado.	-0.000814
amenazan.	-0.000815
desgracias.	-0.000815
laborable.	-0.000816
Culturales.	-0.000818
auditorías.	-0.000819
oponían.	-0.000819
soportable.	-0.000823
indicación.	-0.000825
concesiones.	-0.000826
veracidad.	-0.000826
pragmatismo.	-0.000826
versiones.	-0.000828
austriaco.	-0.000828
aislamiento.	-0.000829
discriminación.	-0.000830
tratase.	-0.000830
guardería.	-0.000832
Seguro.	-0.000834
devaluada.	-0.000834
Kaliningrado.	-0.000837
especulación.	-0.000840
preguntarle.	-0.000841
toxicomanía.	-0.000842
minoritarias.	-0.000846
creatividad.	-0.000850
caído.	-0.000851
radiación.	-0.000851
oferentes.	-0.000852
inquietudes.	-0.000855
desprecio.	-0.000855
debieran.	-0.000856
Schroedter.	-0.000857
Wijsenbeek.	-0.000857
Grossetête.	-0.000857
Molière.	-0.000858
erudito.	-0.000858
erradicar.	-0.000862
recuperación.	-0.000862
vitalicia.	-0.000862
falsificados.	-0.000864
reunión.	-0.000865
cargada.	-0.000866
estadio.	-0.000866
genéticamente.	-0.000867
restrictivo.	-0.000869
Fischer.	-0.000872
rendirnos.	-0.000873
dirigirse.	-0.000874
competidores.	-0.000875
reconocida.	-0.000875
gratuidad.	-0.000876
aumentan.	-0.000876
huracán.	-0.000878
limítrofes.	-0.000880
aeropuerto.	-0.000883
recientes.	-0.000883
Institución.	-0.000884
consumido.	-0.000888
humanitarios.	-0.000889
Agricultura.	-0.000890
coyuntural.	-0.000891
negociables.	-0.000892
marketing.	-0.000892
tratando.	-0.000893
promoverla.	-0.000894
programación.	-0.000897
prematuras.	-0.000897
multipolar.	-0.000898
atuneros.	-0.000898
aducidas.	-0.000899
e-Europe.	-0.000899
marginación.	-0.000899
iniciado.	-0.000899
explotación.	-0.000901
prometedora.	-0.000903
Colegas.	-0.000906
profesionales.	-0.000909
imaginado.	-0.000909
Internacional.	-0.000909
arcaicos.	-0.000912
autorizados.	-0.000919
últimamente.	-0.000920
debatir.	-0.000922
exclusivo.	-0.000923
homosexual.	-0.000923
ideológicas.	-0.000924
moderadas.	-0.000925
exigencias.	-0.000926
déficit.	-0.000927
recuperarse.	-0.000933
electrónicas.	-0.000934
magnífico.	-0.000937
satisfecho.	-0.000938
comprensible.	-0.000940
Colajanni.	-0.000941
observaciones.	-0.000943
margen.	-0.000945
estancados.	-0.000953
mostrada.	-0.000954
categórica.	-0.000954
tradición.	-0.000955
inciso.	-0.000955
Africano.	-0.000956
Bjerregaard.	-0.000959
asistente.	-0.000961
comprensión.	-0.000962
definición.	-0.000963
desarrollados.	-0.000965
ejecutivos.	-0.000967
aprobación.	-0.000967
imprevistos.	-0.000967
parlamentario.	-0.000967
estudiarlo.	-0.000968
desaparecido.	-0.000968
transitoria.	-0.000969
rechazarla.	-0.000970
internacionales.	-0.000970
multimodal.	-0.000970
dimensiones.	-0.000971
Naturaleza.	-0.000972
sufrirán.	-0.000973
Plantation.	-0.000974
garantizan.	-0.000975
burocráticos.	-0.000975
enfrentan.	-0.000977
Noordwijk.	-0.000980
post-Niza.	-0.000980
adoptada.	-0.000981
anunciadas.	-0.000982
legalmente.	-0.000986
episodio.	-0.000988
encubierta.	-0.000988
compatibles.	-0.000988
rechazarse.	-0.000990
prioritarios.	-0.000994
alentadoras.	-0.000995
señalado.	-0.000995
hipótesis.	-0.000999
dorados.	-0.000999
Paraíso.	-0.000999
consecuente.	-0.001003
impulsos.	-0.001004
asentado.	-0.001005
comunidad.	-0.001006
milímetro.	-0.001007
biodiversidad.	-0.001008
objetividad.	-0.001008
paquete.	-0.001008
arriesgado.	-0.001012
legalista.	-0.001012
sugerencias.	-0.001013
rendimiento.	-0.001013
perjudicial.	-0.001014
incoherente.	-0.001015
categorías.	-0.001017
creciente.	-0.001020
donaciones.	-0.001020
asignada.	-0.001022
intercambio.	-0.001024
altibajos.	-0.001030
informativa.	-0.001032
Priština.	-0.001033
regresan.	-0.001035
determinada.	-0.001035
quinquenal.	-0.001040
enfermedades.	-0.001041
coalición.	-0.001041
embarazadas.	-0.001041
decibelios.	-0.001048
importar.	-0.001048
Desarrollo.	-0.001050
novedosos.	-0.001051
utilizados.	-0.001060
lamentables.	-0.001060
inamovible.	-0.001061
decidirlo.	-0.001061
patentable.	-0.001062
explico.	-0.001063
remedios.	-0.001064
conyugal.	-0.001065
amalgama.	-0.001071
productivas.	-0.001071
director.	-0.001072
ecopuntos.	-0.001076
ideológicos.	-0.001078
secretismo.	-0.001078
cumplir.	-0.001079
demostrarlo.	-0.001080
Terrorismo.	-0.001081
tripartito.	-0.001084
austríacos.	-0.001085
ciudadanas.	-0.001088
anteriormente.	-0.001089
muchísimo.	-0.001090
prometida.	-0.001092
Ciertamente.	-0.001092
Mussolini.	-0.001097
posiciones.	-0.001099
Duisenberg.	-0.001100
queridos.	-0.001100
periodistas.	-0.001101
deficiencias.	-0.001102
malentendido.	-0.001104
condenable.	-0.001104
insuficientes.	-0.001105
consideren.	-0.001108
diputado.	-0.001108
comentario.	-0.001110
porcinas.	-0.001110
desempleados.	-0.001112
progresando.	-0.001112
llenas.	-0.001112
apunte.	-0.001112
condenados.	-0.001114
perjuicios.	-0.001118
multimedia.	-0.001119
reconozca.	-0.001120
contundente.	-0.001124
conciudadanos.	-0.001124
Eurocontrol.	-0.001127
porcentaje.	-0.001128
criticar.	-0.001131
delincuentes.	-0.001132
afirmación.	-0.001136
reglamentos.	-0.001136
intérpretes.	-0.001136
norte-sur.	-0.001138
llamativa.	-0.001140
requeridos.	-0.001143
disponemos.	-0.001146
atractivas.	-0.001147
logrado.	-0.001148
firmante.	-0.001148
Económicos.	-0.001148
elementales.	-0.001148
propios.	-0.001149
debatía.	-0.001149
reforzarla.	-0.001152
ejercicio.	-0.001154
lenguaje.	-0.001155
estadística.	-0.001155
Luciano.	-0.001156
Roberts.	-0.001156
Egnatia.	-0.001156
convergencia.	-0.001157
aparcado.	-0.001159
practices.	-0.001160
votarse.	-0.001163
novedosa.	-0.001168
barómetros.	-0.001168
cualificados.	-0.001171
justificadas.	-0.001172
satisfactorio.	-0.001172
guarderías.	-0.001173
evidencia.	-0.001174
venimos.	-0.001177
candidata.	-0.001182
desastrosas.	-0.001183
comparten.	-0.001184
explosivas.	-0.001185
mencionada.	-0.001189
demográfica.	-0.001190
pianista.	-0.001191
marsopas.	-0.001191
obligaciones.	-0.001194
desiertos.	-0.001196
Estabilidad.	-0.001197
Poettering.	-0.001201
continuada.	-0.001209
Jalili.	-0.001209
corriendo.	-0.001212
protestas.	-0.001212
indulgente.	-0.001214
expectativas.	-0.001215
fabricante.	-0.001219
árbitro.	-0.001221
informales.	-0.001224
anticuados.	-0.001227
empezar.	-0.001228
sistemática.	-0.001235
Sostenible.	-0.001236
navega.	-0.001238
Estructurales.	-0.001240
Paasilinna.	-0.001247
sentencia.	-0.001250
mencionadas.	-0.001252
Lienemann.	-0.001254
reciprocidad.	-0.001259
subyacentes.	-0.001261
acusador.	-0.001262
semilla.	-0.001263
respalda.	-0.001264
neumáticos.	-0.001265
legislativos.	-0.001265
producirse.	-0.001266
escandaloso.	-0.001267
fantástico.	-0.001268
aranceles.	-0.001268
Fundamentales.	-0.001271
indicativo.	-0.001272
efectividad.	-0.001275
lingüístico.	-0.001276
comparativa.	-0.001276
propiedad.	-0.001277
traspaso.	-0.001284
ratificación.	-0.001287
irrelevante.	-0.001291
ferroviaria.	-0.001295
Gorbachov.	-0.001299
ocupan.	-0.001299
mencionar.	-0.001306
migratoria.	-0.001308
células.	-0.001309
verdades.	-0.001313
interesantes.	-0.001320
inundaciones.	-0.001322
enunciado.	-0.001323
Platini.	-0.001324
matados.	-0.001324
vigilantes.	-0.001324
poblaciones.	-0.001327
dictadores.	-0.001331
página.	-0.001331
integrados.	-0.001332
nepotismo.	-0.001332
inquietante.	-0.001337
prudencial.	-0.001340
desplazadas.	-0.001342
podridas.	-0.001344
nacionalidad.	-0.001346
obligatorios.	-0.001346
defectuosa.	-0.001347
parlamentaria.	-0.001347
remolque.	-0.001349
comentado.	-0.001350
Vermeer.	-0.001354
sordera.	-0.001354
aparato.	-0.001355
humanitarias.	-0.001357
detención.	-0.001358
aprender.	-0.001362
mención.	-0.001364
requerirá.	-0.001364
llamamiento.	-0.001370
reseña.	-0.001374
crisol.	-0.001374
dispongo.	-0.001374
eficiencia.	-0.001377
modernidad.	-0.001381
tratara.	-0.001382
Kittelmann.	-0.001383
correctamente.	-0.001389
bastidores.	-0.001392
anualmente.	-0.001393
varían.	-0.001395
trabaja.	-0.001396
innecesarios.	-0.001397
esperan.	-0.001400
hablando.	-0.001401
comprar.	-0.001404
holandeses.	-0.001407
procedencia.	-0.001413
beneficio.	-0.001414
ilegalmente.	-0.001414
necesidades.	-0.001420
expresarse.	-0.001424
conocido.	-0.001425
educativas.	-0.001426
desconocido.	-0.001426
compartimos.	-0.001426
informática.	-0.001426
soslayar.	-0.001427
subsidiariedad.	-0.001432
colcha.	-0.001436
alimentarios.	-0.001437
inexactas.	-0.001442
extendida.	-0.001442
Henderson.	-0.001448
Chen.	-0.001452
medioambiental.	-0.001453
signos.	-0.001453
Marítima.	-0.001459
resistencia.	-0.001460
inicuas.	-0.001462
PETROLA.	-0.001462
retarda.	-0.001462
eliminarse.	-0.001462
apremiante.	-0.001465
Kozloduj.	-0.001465
fomenten.	-0.001466
argumentos.	-0.001466
municipio.	-0.001467
sospechoso.	-0.001472
avezado.	-0.001472
Maarten.	-0.001472
Halifax.	-0.001472
zafarse.	-0.001472
cantina.	-0.001472
alabanzas.	-0.001474
reafirma.	-0.001475
congestión.	-0.001478
aplazado.	-0.001480
narcóticos.	-0.001483
analítico.	-0.001487
remunerada.	-0.001491
tácticas.	-0.001491
aprueben.	-0.001492
decomiso.	-0.001494
sufriendo.	-0.001499
extendido.	-0.001500
preocupantes.	-0.001507
ejercerla.	-0.001508
predecible.	-0.001508
corrección.	-0.001512
plenamente.	-0.001512
disposición.	-0.001513
Comisario.	-0.001515
presencia.	-0.001517
respetando.	-0.001519
acústicas.	-0.001520
huérfano.	-0.001521
mayorías.	-0.001526
partidos.	-0.001528
Guterres.	-0.001530
agilidad.	-0.001531
fronteriza.	-0.001532
Socialista.	-0.001534
neerlandesa.	-0.001537
simbólicos.	-0.001540
disculpas.	-0.001543
necesitadas.	-0.001547
Pasqua.	-0.001551
etiquetas.	-0.001552
clamor.	-0.001555
armonizado.	-0.001557
democracias.	-0.001557
diplomática.	-0.001569
imitación.	-0.001570
censurable.	-0.001570
municipios.	-0.001571
tensiones.	-0.001572
entredicho.	-0.001574
profesores.	-0.001576
leucosis.	-0.001577
alimento.	-0.001580
preparados.	-0.001584
funcionando.	-0.001584
debatiendo.	-0.001585
agraven.	-0.001585
melodía.	-0.001587
apicultura.	-0.001588
empobrecido.	-0.001588
nacimiento.	-0.001590
alimenticios.	-0.001594
discursos.	-0.001594
testigo.	-0.001596
excluidas.	-0.001598
comparable.	-0.001599
Jingsheng.	-0.001608
adquiridos.	-0.001612
torturados.	-0.001612
insostenible.	-0.001620
abordarlos.	-0.001622
reuniones.	-0.001625
viáticos.	-0.001625
afección.	-0.001625
Malangré.	-0.001625
nimiedad.	-0.001625
asesinatos.	-0.001626
Asturias.	-0.001627
cerámica.	-0.001627
legisle.	-0.001628
ofrecen.	-0.001633
aplicables.	-0.001634
afirmarlo.	-0.001635
elegida.	-0.001636
atentados.	-0.001637
Sudamérica.	-0.001639
Ciudadanos.	-0.001641
frecuencia.	-0.001644
alternativos.	-0.001654
Conferencia.	-0.001654
llegará.	-0.001658
concursos.	-0.001660
Kosloduj.	-0.001662
competitivas.	-0.001662
Mandelson.	-0.001662
tranquilos.	-0.001664
institucional.	-0.001667
Lalumière.	-0.001668
frustrante.	-0.001670
bloqueada.	-0.001671
comprende.	-0.001675
Industrial.	-0.001677
degradado.	-0.001679
aceptará.	-0.001679
diferencia.	-0.001680
alimenticia.	-0.001682
civilización.	-0.001686
complicados.	-0.001687
medicamentos.	-0.001690
revisión.	-0.001696
derecho.	-0.001698
Mouskouri.	-0.001699
rodillas.	-0.001706
retoques.	-0.001706
compartir.	-0.001709
extremistas.	-0.001709
embarcado.	-0.001717
equivoco.	-0.001717
nombres.	-0.001720
plausible.	-0.001722
eliminados.	-0.001722
vitalicio.	-0.001725
preferente.	-0.001726
suicidios.	-0.001726
izquierdas.	-0.001731
sincero.	-0.001732
saludo.	-0.001741
Servicios.	-0.001741
escasear.	-0.001743
estrecho.	-0.001743
sacrificio.	-0.001745
accionistas.	-0.001746
estímulo.	-0.001749
Personal.	-0.001749
Potočnik.	-0.001749
Pinheiro.	-0.001754
método.	-0.001755
sobrepesca.	-0.001759
comprando.	-0.001759
libanesas.	-0.001760
establos.	-0.001763
selectivas.	-0.001769
disuasorio.	-0.001771
amargas.	-0.001772
dramáticas.	-0.001774
indicado.	-0.001778
conocimiento.	-0.001788
proponga.	-0.001790
transigir.	-0.001790
ignorancia.	-0.001795
ingenuidad.	-0.001795
indeseable.	-0.001797
gráficas.	-0.001798
multilateral.	-0.001806
empeorará.	-0.001814
sectoriales.	-0.001817
defendible.	-0.001818
astilleros.	-0.001821
constructivo.	-0.001823
provengo.	-0.001824
determinado.	-0.001824
posibilidad.	-0.001826
exagerar.	-0.001829
psíquicos.	-0.001829
temporada.	-0.001829
mediática.	-0.001833
Papoutsis.	-0.001833
competitivos.	-0.001834
obtenerlo.	-0.001836
globalización.	-0.001837
oprimidos.	-0.001840
satisfactoria.	-0.001843
contratos.	-0.001846
apoyaría.	-0.001847
adoptadas.	-0.001848
soñamos.	-0.001852
residir.	-0.001856
pancartas.	-0.001856
inocuidad.	-0.001857
anuncios.	-0.001861
innecesario.	-0.001866
demócratas.	-0.001871
espantosas.	-0.001871
propicias.	-0.001878
clausura.	-0.001878
Presupuestos.	-0.001882
estratégico.	-0.001882
ejemplares.	-0.001884
disminuido.	-0.001884
Holocausto.	-0.001884
claramente.	-0.001885
Victoria.	-0.001886
ofendido.	-0.001888
marxista.	-0.001893
calvario.	-0.001893
Solidaridad.	-0.001894
eficazmente.	-0.001899
alegrarse.	-0.001900
montañas.	-0.001902
corporales.	-0.001902
favorecidas.	-0.001904
realidades.	-0.001907
empresario.	-0.001908
domésticas.	-0.001911
aumentado.	-0.001911
especialmente.	-0.001917
independiente.	-0.001921
impotencia.	-0.001923
Foster.	-0.001924
Costa.	-0.001924
espiritual.	-0.001926
notoria.	-0.001928
concertada.	-0.001935
ficticios.	-0.001938
prejuicios.	-0.001938
Almadén.	-0.001940
unitarios.	-0.001945
tempranas.	-0.001947
desenlace.	-0.001947
Cisjordania.	-0.001961
padecen.	-0.001964
Gallagher.	-0.001969
tesis.	-0.001974
estructura.	-0.001976
desplazados.	-0.001979
mediterránea.	-0.001980
expiatorio.	-0.001985
intermedio.	-0.001986
Althea.	-0.001993
Lüttge.	-0.001993
moluscos.	-0.001993
Liubliana.	-0.001993
permitido.	-0.001998
sulfito.	-0.001998
anunciada.	-0.001999
potenciales.	-0.001999
revisarlo.	-0.002006
debidamente.	-0.002008
medianoche.	-0.002012
gestación.	-0.002013
renovarse.	-0.002015
división.	-0.002017
pelágico.	-0.002017
castigos.	-0.002021
rutinario.	-0.002025
indebidas.	-0.002037
prestarse.	-0.002040
autorizar.	-0.002044
credibilidad.	-0.002044
escalera.	-0.002044
propuestos.	-0.002048
consumados.	-0.002050
circular.	-0.002051
corrientes.	-0.002054
evolutivo.	-0.002059
ésas.	-0.002064
terremotos.	-0.002066
tolerancia.	-0.002066
capitalista.	-0.002071
profundos.	-0.002076
barreras.	-0.002078
compras.	-0.002084
celebro.	-0.002084
aplacen.	-0.002085
cadáver.	-0.002085
adelantado.	-0.002088
pesimistas.	-0.002098
convivir.	-0.002098
autopista.	-0.002100
reconocerlo.	-0.002105
considerable.	-0.002109
sustancial.	-0.002111
concluyo.	-0.002111
existiendo.	-0.002122
permitida.	-0.002123
cumplan.	-0.002125
prohibidas.	-0.002127
subprime.	-0.002127
fatalidad.	-0.002140
científicas.	-0.002151
divididos.	-0.002152
combatirlo.	-0.002157
estratégica.	-0.002161
supresión.	-0.002162
arriesgada.	-0.002171
milagrosa.	-0.002172
mercantes.	-0.002176
exageradas.	-0.002178
Alimentaria.	-0.002179
modificados.	-0.002182
clandestina.	-0.002187
cortesía.	-0.002188
citas.	-0.002188
merecemos.	-0.002192
rotación.	-0.002202
satisfechos.	-0.002208
Freetown.	-0.002209
pactadas.	-0.002209
instituciones.	-0.002210
RAFAEL.	-0.002213
envergadura.	-0.002213
asalto.	-0.002219
cambiarlo.	-0.002220
Petersberg.	-0.002222
comprador.	-0.002224
imponerla.	-0.002230
occidentales.	-0.002233
tradicional.	-0.002237
advertencia.	-0.002237
garantizada.	-0.002242
posteriores.	-0.002243
rezagadas.	-0.002244
pragmático.	-0.002246
generaciones.	-0.002247
sinceridad.	-0.002252
necesitados.	-0.002259
fijando.	-0.002260
bolsillos.	-0.002273
finales.	-0.002274
Oostlander.	-0.002277
obligatoria.	-0.002281
burocrática.	-0.002284
investigación.	-0.002284
boicot.	-0.002293
intermodal.	-0.002296
ideológica.	-0.002305
tonelaje.	-0.002307
fúnebre.	-0.002313
eslovacas.	-0.002321
